"X_COORD","Y_COORD","HABITAT"
446381,3960327,0
446386,3960327,0
446391,3960327,0
446396,3960327,0
446401,3960327,0
446406,3960327,0
446411,3960327,0
446416,3960327,0
446421,3960327,0
446426,3960327,0
446431,3960327,0
446436,3960327,0
446441,3960327,0
446446,3960327,0
446451,3960327,0
446456,3960327,0
446461,3960327,0
446466,3960327,0
446471,3960327,0
446476,3960327,0
446481,3960327,0
446486,3960327,0
446491,3960327,0
446496,3960327,0
446501,3960327,0
446506,3960327,0
446511,3960327,0
446516,3960327,0
446521,3960327,0
446526,3960327,0
446531,3960327,0
446536,3960327,0
446541,3960327,0
446546,3960327,0
446551,3960327,0
446556,3960327,0
446561,3960327,0
446566,3960327,0
446571,3960327,0
446576,3960327,0
446581,3960327,0
446586,3960327,0
446591,3960327,0
446596,3960327,0
446601,3960327,0
446606,3960327,0
446611,3960327,0
446616,3960327,0
446621,3960327,0
446626,3960327,0
446631,3960327,0
446636,3960327,0
446641,3960327,0
446646,3960327,0
446651,3960327,0
446656,3960327,0
446661,3960327,0
446666,3960327,0
446671,3960327,0
446676,3960327,0
446681,3960327,0
446686,3960327,0
446691,3960327,0
446696,3960327,0
446701,3960327,0
446706,3960327,0
446711,3960327,0
446716,3960327,0
446721,3960327,0
446726,3960327,0
446731,3960327,0
446736,3960327,0
446741,3960327,0
446746,3960327,0
446751,3960327,0
446756,3960327,0
446761,3960327,0
446766,3960327,0
446771,3960327,0
446776,3960327,0
446781,3960327,0
446786,3960327,0
446791,3960327,0
446796,3960327,0
446801,3960327,0
446806,3960327,0
446811,3960327,0
446816,3960327,0
446821,3960327,0
446826,3960327,0
446831,3960327,0
446836,3960327,0
446841,3960327,0
446846,3960327,0
446851,3960327,0
446856,3960327,0
446861,3960327,0
446866,3960327,0
446871,3960327,0
446876,3960327,0
446881,3960327,0
446886,3960327,0
446891,3960327,0
446896,3960327,0
446901,3960327,0
446906,3960327,0
446911,3960327,0
446916,3960327,0
446381,3960332,0
446386,3960332,0
446391,3960332,0
446396,3960332,0
446401,3960332,0
446406,3960332,0
446411,3960332,0
446416,3960332,0
446421,3960332,0
446426,3960332,0
446431,3960332,0
446436,3960332,0
